Video ID;Central_Object;Texture;Color;Size_Shape;Object_2;Object_3;Object_4;Environment;Lighting;Video_Clarity;Movement_Behavior;Camera_Position;Camera_Angle;Caption
0001.mp4;Sứa mặt trăng;;Màu trắng, trong suốt;Kích thước nhỏ;;;;Nước biển đục;ánh sáng ban ngày;video có chất lượng rõ nét;Sứa biển đang di chuyển giữa dòng nước đục;quay toàn cảnh thấy được sứa biển đang di chuyển;góc quay ngang và tịnh tiến tới;Moon jellyfish gracefully glide through the ocean depths like giant translucent umbrellas, their delicate, silk-like tentacles trailing behind them like gossamer threads, gently capturing prey. They move with a slow, rhythmic sway, adding an ethereal beauty to the underwater world.
0002.mp4;Sứa mặt trăng;;Màu trắng, trong suốt;Kích thước nhỏ;;;;Nước biển đục;ánh sáng ban ngày;video có chất lượng rõ nét;Sứa biển đang di chuyển giữa dòng nước đục;quay toàn cảnh thấy được sứa biển đang di chuyển;góc quay ngang và tịnh tiến tới;Moon jellyfish gracefully glide through the ocean depths like giant translucent umbrellas, their delicate, silk-like tentacles trailing behind them like gossamer threads, gently capturing prey. They move with a slow, rhythmic sway, adding an ethereal beauty to the underwater world.
0003.mp4;Sinh vật biển;;màu vàng nâu;Kích thước nhỏ;;;;Nước biển đục;ánh sáng ban ngày;video có chất lượng rõ nét;Sinh vật biển đang đứng yên;quay toàn cảnh, sinh vật biển đang đứng yên;góc quay ngang và tịnh tiến tới;Beneath the camera's gaze, a small marine creature stands out amidst the vast expanse of the ocean. Its body is not overly colorful, simply a gentle shade of yellow-brown. This marine creature serves as a focal point, contributing to the ocean's vibrant beauty.
0004.mp4;Sứa biển;;Màu trắng, trong suốt;Kích thước nhỏ;;;;Nước biển trong;ánh sáng ban đêm;video có chất lượng rõ nét;Sứa biển đang di chuyển giữa dòng nước trong;quay toàn cảnh thấy được sứa biển đang di chuyển;góc quay ngang;Moon jellyfish gracefully glide through the ocean depths like giant translucent umbrellas, their delicate, silk-like tentacles trailing behind them like gossamer threads, gently capturing prey. They move with a slow, rhythmic sway, adding an ethereal beauty to the underwater world.
0005.mp4;Sứa biển;;Màu trắng, trong suốt;Kích thước nhỏ;;;;Nước biển trong;ánh sáng ban đêm;video có chất lượng rõ nét;Sứa biển đang di chuyển giữa dòng nước trong;quay toàn cảnh thấy được sứa biển đang di chuyển;góc quay ngang và tịnh tiến tới;Moon jellyfish gracefully glide through the ocean depths like giant translucent umbrellas, their delicate, silk-like tentacles trailing behind them like gossamer threads, gently capturing prey. They move with a slow, rhythmic sway, adding an ethereal beauty to the underwater world.
0006.mp4;Sứa biển;;màu xanh;kích thước trung bình;;;;Nước biển xanh đậm;ánh sáng ban đêm;video có chất lượng rõ nét;Sứa biển đang di chuyển giữa dòng nước trong;quay 1 phần cảnh thấy được sứa biển đang di chuyển;góc quay ngang và tịnh tiến tới;The jellyfish, with its vibrant green color and medium size, glides through the deep blue waters under the night sky. The high-quality video captures their graceful movement. The gentle horizontal angle approaches, revealing the beauty of the jellyfish.
0007.mp4;một sinh vật biển;;màu trắng, màu xanh;kích thước trung bình;đèn pin;thợ lặn;mùn hữu cơ;Nước biển xanh đậm;ánh sáng ban đêm;video có chất lượng rõ nét;Sinh vật biển nằm lơ lửng;quay toàn cảnh sinh vật biển;góc quay ngang và tịnh tiến tới;Under the glow of a flashlight, a marine creature with white and blue hues, of medium size, floats in the deep blue sea. The high-quality video captures images of the marine creature and organic debris. The gentle horizontal angle approaches gracefully.
0008.mp4;bọt khí;;màu trắng, phát sáng;kích thước đa dạng;đèn pin;mùn hữu cơ;bọt khí;Nước biển xanh đậm;;video có chất lượng rõ nét;Bọt biển di chuyển lên xuống;quay toàn cảnh bọt biển;góc quay ngang và tịnh tiến tới;glowing white bubbles of varying sizes bob in the deep blue sea. The high-quality video vividly captures the scene of the bubbles moving fluidly. The horizontal angle steadily advances towards them.
0009.mp4;Sứa biển;;màu trắng, màu xanh, màu cam và sứa trong suốt;kích thước trung bình;camera thợ lặn;thợ lặn;mùn hữu cơ;Nước biển xanh đậm;;video có chất lượng rõ nét;Sứa biển bơi chậm rãi;quay 1 phần cảnh thấy được sứa biển đang di chuyển;góc quay ngang và tịnh tiến tới;Amidst the deep blue sea, jellyfish in white, green, and orange hues gracefully drift. With an average size, they are captured by the diver's camera. The high-quality video depicts the jellyfish swimming slowly. The horizontal angle steadily advances forward.
0010.mp4;Bọt biển;;màu cam, màu trắng;kích thước trung bình;đèn pin;;mùn hữu cơ;Nước biển xanh đậm;;video có chất lượng rõ nét;bọt biển không di chuyển;quay 1 phần cảnh thấy được sứa biển đang di chuyển;góc quay ngang và tịnh tiến tới;The orange and white sea foam floats gently. With an average size, illuminated by a flashlight. The high-quality video captures the serene scene of motionless sea foam. The camera angle steadily advances forward.
0011.mp4;cá biển nhỏ;;thân màu trắng, bên trong màu cam;kích thước nhỏ;đèn pin;thợ lặn;mùn hữu cơ;Nước biển xanh đậm;;video có chất lượng rõ nét;Cá biển nhỏ bơi nhanh;quay toàn phần cá nhỏ;góc quay ngang và tịnh tiến tới;small sea fish emerge, their bodies gentle white, yet their inner cores glow orange, creating a vibrant sight. Illuminated by a flashlight, they stand out. The high-quality video vividly portrays the lively beauty of the sea fish.
0012.mp4;sứa biển;;sứa biển có hình dáng tam giắc với 3 vòng tròn;kích thước nhỏ;đèn pin;mùn hữu cơ;;Nước biển xanh đậm;;video có chất lượng rõ nét;sứa biển di chuyển chậm;quay toàn phần sứa biển;góc quay ngang và tịnh tiến tới;The jellyfish takes on a triangular shape with three soft circles. Despite its small size, it's remarkably impressive. The flashlight illuminates their natural beauty. The high-quality video captures the jellyfish's slow movement, transitioning smoothly from a horizontal angle to a close-up.
0013.mp4;sứa biển;;sứa biển có thân trắng và một đóm màu cam phát sáng;kích thước nhỏ;đèn pin;mùn hữu cơ;bọt khí;Nước biển xanh đậm;;video có chất lượng rõ nét;sứa biển di chuyển chậm;quay 1 phần cảnh thấy được sứa biển đang di chuyển;góc quay ngang, cố định, bắt trọn khoảnh khắc di chuyển của sứa biển;The jellyfish, with its white body and glowing orange bulb, is small yet striking. The light from the flashlight reveals their beauty. The high-quality video captures the jellyfish's slow movement, from a fixed horizontal angle, capturing every moment.
0014.mp4;sứa biển;;sứa biển có hình tròn ở phần đầu, đuôi có 4 tua dài;kích thước nhỏ;đèn pin;mùn hữu cơ;bọt khí;Nước biển xanh đậm;;video có chất lượng rõ nét;sứa biển di chuyển tới với tốc độ nhanh;quay toàn phần sứa biển;góc quay ngang, xoay ngang theo hướng di chuyển của sứa biển;Under the deep blue sea, jellyfish with a circular head and four long tentacles at the tail, small yet impressive. The high-quality video captures the jellyfish's swift movement, from a horizontal angle, tracking its direction.
0015.mp4;sứa biển;;sứa biển đầu tròn thân ngắn;kích thước nhỏ;đèn pin;mùn hữu cơ;camera và thợ lặn;Nước biển xanh đậm;;video có chất lượng rõ nét;sứa biển di chuyển với tốc độ chậm;quay toàn phần sứa biển;góc quay bao quát cả người đang quay sứa biển và sứa biển;The jellyfish has a round head and short body, small yet remarkable. The high-quality video captures the jellyfish's slow movement, from a wide-angle perspective encompassing both the diver and the jellyfish.
0016.mp4;sứa biển;;trong suốt;mảnh;sinh vật phù du;;;nước biển trong;;rõ nét;sứa và sinh vật phù du thả trôi;toàn cảnh sứa, một phần sinh vật phù du;sứa làm trung tâm;Under the sea, translucent jellyfish shimmer like crystal, a stroke of luck. Graceful ephemeral creatures gently drift by. A clear video captures the scene of jellyfish and ephemeral creatures floating. The jellyfish takes center stage, encompassing both the panoramic view and a portion of the ephemeral life.
0017.mp4;sứa biển;;trong suốt có pha tý cam;mảnh;sinh vật phù du;;;nước biển trong;;rõ nét;sứa và sinh vật phù du hầu như không di chuyển;từ xa lại gần sứa;sứa làm trung tâm, từ xa và hướng lại gần;In the heart of the ocean, translucent jellyfish resembling a hint of orange create a stunning scene. They gently glide through the clear waters like shards of glass, accompanied by ethereal creatures. Beneath the sharp sunlight, they almost seem motionless, crafting a tranquil space. From afar, the creatures gravitate towards the center, where the jellyfish reside.
0018.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;sứa biển;;;nước biển trong;;rõ nét;sinh vật phù du thì thả trôi, sứa thì đang bơi lên;1 phần vật thể;quay ngang;A petite, golden ephemeral creature, reflecting light from the diver's torch. Drifting gracefully in the underwater realm, they vividly outline a part of an object, while jellyfish ascend. The horizontal shot creates a sense of expansiveness and mystique
0019.mp4;vệt sáng từ đèn của thợ lặn;;ánh sáng trắng;hình ovan;sinh vật phù du;;;nước biển trong;;chỉ rõ nét khi ánh sáng chiếu tới;ánh đèn thì lia không nhanh, sinh vật phù du thì thả trôi;toàn cảnh;di chuyển theo ánh đèn;Underneath the deep sea, a bright streak from the diver's light creates vivid ovals. Within the clear waters, ephemeral creatures drift, only manifesting under the glow of the light. The entire scene moves with the beam, crafting a wondrous and mystical tableau
0020.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;sinh vật phù du thả trôi;toàn cảnh;phải sang trái;The small luminescent yellow creatures glow under the diver's light. Drifting gently in the underwater world, they create a vivid scene. The panorama shifts from right to left, crafting a mysterious and tranquil space
0021.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;sinh vật phù du thả trôi;toàn cảnh;phải sang trái;The tiny glowing yellow ephemeral creatures shimmer under the diver's light. Drifting softly in the underwater realm, they paint a vivid scene. The panorama shifts from right to left, creating a tranquil and mystical space.
0022.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;mực bóng;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;Underneath the sea, small, delicate, golden-hued creatures gently sway, reflecting the light from the diver's torch. Within the tranquil waters, they drift gracefully, creating a vivid tableau. The scene shifts seamlessly from horizontal sweeps to serene advances, crafting a mystical space with shimmering ink accents.
0023.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny, yellow bioluminescent creatures reflect light from the diver's torch. Drifting gently in the underwater realm, they create vivid scenery. The panoramic transition from horizontal to still movement evokes a mystical space.
0024.mp4;Sứa Venus girdle;;trong suốt;tầm trung;sinh vật phù du;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The Venus girdle jellyfish, transparent yet iridescent, epitomizes the ephemeral beauty of marine life. Drifting gently in the underwater realm, they create a vivid spectacle. Their graceful movement, from horizontal glides to serene advances, crafts a sense of mystical space.
0025.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.
0026.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;Sứa Venus girdle;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;In the depths of the ocean, a tiny, elusive yellow creature is easily overlooked if not carefully observed. Illuminated by the diver's light, the Venus girdle jellyfish glides gracefully, creating a mystical scene as it rotates and drifts.
0027.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.
0028.mp4;Sứa Venus girdle;;trong suốt;tầm trung;sinh vật phù du;Tôm ma;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The Venus girdle jellyfish, transparent yet iridescent, epitomizes the ephemeral beauty of marine life. Drifting gently in the underwater realm, they create a vivid spectacle. Their graceful movement, from horizontal glides to serene advances, crafts a sense of mystical space.
0029.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.
0030.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;Sứa Venus girdle;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.
0031.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.
0032.mp4;Sứa Venus girdle;;trong suốt, có điểm ánh vàng;ngắn;sinh vật phù du;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;"""The Venus girdle jellyfish is a striking highlight with its translucent, short golden shimmer. The ephemeral creatures surrounding it make the scene even more vibrant. They drift gently, creating a mystical space as the scene transitions from a horizontal panorama to a serene advance."""
0033.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.
0034.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.
0035.mp4;Sứa Venus girdle;;trong suốt;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;"""The transparent Venus girdle jellyfish showcases the beauty of transient creatures. Drifting gently in the underwater realm, they create vivid scenes. Their graceful movements, transitioning from horizontal rotation to tranquil gliding, craft a mysterious ambiance."""
0036.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.
0037.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.
0038.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.
0039.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.
0040.mp4;Sứa Venus girdle;;trong suốt;tầm trung;một vài sinh vật phù du xung quanh;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;In the clear waters, the Venus girdle jellyfish - a species known for its translucent appearance - stands out beautifully. Several transient creatures around it add to the vividness of the scene. They drift gently, creating a mysterious ambiance as the scene transitions from a horizontal panorama to a serene advance
0041.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.
0042.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.
0043.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;thợ lặn;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;In the underwater realm, small golden creatures, reflecting the light from the diver's torch, drift gently. The clear panorama creates a mysterious space, as the horizontal angle moves steadily forward, providing an intriguing experience for observers.
0044.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.
0045.mp4;Sứa Venus girdle;;trong suốt;dài;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;In the depths of the ocean, the Venus girdle jellyfish resembles a long, translucent ribbon, strikingly prominent. With its gentle drifting, it creates a scene of mystery, as it sways horizontally and gracefully moves forward, forming a vibrant and impressive living space.
